timeS_data,tempC_data,tempF_data,state_data
0.0,137.5,279.5,Cooling
0.5,140.31220704040513,284.5619726727292,Reflow
1.0,143.12265654295132,289.6207817773124,Reflow
1.5,145.92959206818352,294.6732657227304,Inactive
2.0,148.73125937276816,299.7162668709827,Cooling
2.5,151.52590750583812,304.7466335105086,Ramp to Peak
3.0,154.31178990327993,309.7612218259039,Cooling
3.5,157.08716547927955,314.75689786270317,Reflow
4.0,159.8502997144444,319.7305394859999,Inactive
4.5,162.59946573982137,324.6790383316785,Preheat/Soak
5.0,165.33294541613384,329.59930174904093,Cooling
5.5,168.0490304075627,334.48825473361285,Ramp to Soak
6.0,170.7460232494007,339.3428418489213,Cooling
6.5,173.42223840891262,344.16002913604274,Reflow
7.0,176.07600333873827,348.9368060097289,Ramp to Peak
7.5,178.70565952218035,353.6701871399246,Reflow
8.0,181.30956350972318,358.3572143175017,Ramp to Peak
8.5,183.8860879461353,362.9949583030435,Preheat/Soak
9.0,186.4336225875134,367.5805206575242,Ramp to Soak
9.5,188.9505753076325,372.11103555373853,Cooling
10.0,191.43537309297284,376.58367156735113,Preheat/Soak
10.5,193.88646302580224,380.99563344644406,Ramp to Peak
11.0,196.30231325469916,385.3441638584585,Reflow
11.5,198.6814139519098,389.62654511343766,Preheat/Soak
12.0,201.0222782569415,393.8401008624947,Cooling
12.5,203.323443205802,397.9821977704436,Ramp to Soak
13.0,205.58347064530443,402.050247161548,Inactive
